Time,Packets
-11.75, 119.3961630483274
-11.5, 121.07600738384048
-11.25, 122.99404717358225
-11, 124.84808061501668
-10.75, 126.46342927044238
-10.500000000000002, 128.19617395089617
-10.25, 130.1859603107053
-10, 132.2377491361115
-9.75, 133.9567303333423
-9.5, 134.7912931809556
-9.25, 134.84213768717692
-9, 134.8496780195039
-8.75, 135.11295765915443
-8.5, 135.46555452965654
-8.25, 135.8220339125518
-8, 136.1767859403594
-7.75, 136.03381366562584
-7.5, 134.44592889059433
-7.25, 131.4403493505645
-7, 128.0431716765099
-6.75, 125.40572166325323
-6.5, 124.69988848742554
-6.25, 125.69110770297064
-6, 126.77081095188265
-5.75, 127.07318771396109
-5.5, 126.52467790823914
-5.25, 124.83252930767647
-5.0000000000000036, 121.48338443463673
-4.75, 116.7163543616488
-4.5, 111.54469278302523
-4.25, 107.27535464897949
-4, 105.41126023830597
-3.75, 105.98888799748983
-3.5, 107.59873735441761
-3.25, 109.46087592672794
-3, 111.49466144872132
-2.75, 113.79710769235429
-2.5, 116.59888672168665
-2.25, 119.82129608489186
-2, 123.07573272889147
-1.75, 126.08559068477491
-1.5, 128.70476094140693
-1.25, 130.9069062086507
-1, 132.7807111835303
-0.75, 134.43935366842547
-0.5, 135.99769145181492
-0.25, 136.7263242512083
-3.552713678800501e-15, 135.30624182074035
0.24999999999999645, 132.13334879787564
0.49999999999999645, 128.20610695342754
0.7499999999999964, 123.93326681030285
0.9999999999999964, 119.32940512675198
1.2499999999999964, 114.22134599079914
1.4999999999999964, 108.64246097162163
1.75, 103.40555458048613
2, 99.86480334035424
2.25, 97.774108223766
2.5, 95.30282557284053
2.75, 91.45020722703399
3, 86.13591973952359
3.25, 79.81974330563943
3.5, 73.44290317671454
3.75, 67.53869501432605
4, 62.20844453489737
4.25, 57.46053497253044
4.5, 53.227985464094175
4.75, 49.41425547332068
5, 45.906243235957206
5.25, 42.812525014462594
5.5, 40.452550559387305
5.7500000000000036, 38.89326089787802
6.0000000000000036, 37.934757121734805
6.2500000000000036, 37.244254480723995
6.5000000000000036, 36.38627382626834
6.7500000000000036, 35.3455462429439
7.0000000000000036, 34.53743605565407
7.2500000000000036, 34.537845048793514
7.5000000000000036, 36.042691101997946
7.7500000000000036, 39.25509518774065
8.000000000000004, 43.8740200818753
8.250000000000004, 49.42799076267437
8.500000000000004, 55.31097801106125
8.750000000000004, 61.229917592484114
9.000000000000004, 67.20706112544244
9.250000000000004, 73.20491223041351
9.500000000000004, 79.12565949669613
9.750000000000004, 85.16605666574809
10.000000000000004, 91.78239512148001
10.250000000000004, 98.58908700348206
10.500000000000004, 104.37967651164391
10.750000000000004, 108.6286552522677
11.000000000000004, 111.54103996275222
11.250000000000004, 113.69238241100823
11.500000000000004, 116.1786711300284
11.750000000000004, 118.23995035402999
